All Public Meetings,,,,,,,"Instructions: Drinks & Agendas; If a public meeting is discussing that city's housing element, add the meeting to our map/database at www.fairhousingelements.org/calendar-form",Week of 6/25,Week of 7/8,Week of 7/16,Week of 8/5,Week of 8/12,Week of 8/26,Week of 1/13,Week of 1/20,Week of 2/03,Week of 3/17,# of agendas checked this week!/Whether Housing Element has been adopted from Jan 31 - today,www.fairhousingelements.org/calendar-form
Los Angeles,La Habra Heights,,City Council,172,,2nd Monday,https://www.lhhcity.org/129/Agendas-Minutes,,,,,,,,,,,,
Los Angeles,Rolling Hills Estates,A,Planning Commission,191,,1st Monday,https://www.ci.rolling-hills-estates.ca.us/government/mayor-city-council/agendas-minutes-video,JF - No,,,,,,,,,,,
Los Angeles,Rolling Hills Estates,A,City Council,191,,"2nd Tuesday, 4th Tuesday",https://www.ci.rolling-hills-estates.ca.us/government/mayor-city-council/agendas-minutes-video-531,,,,,,,,,,yes,BO,
Los Angeles,Palos Verdes Estates,,City Council,198,,"2nd Tuesday, 4th Tuesday",https://www.pvestates.org/government/city-council/city-meetings,,,,,,,,,,yes,BO,
Los Angeles,Sierra Madre,,Planning Commission,204,,"1st Tuesday, 3rd Tuesday",https://www.cityofsierramadre.com/cms/One.aspx?portalId=212393&pageId=271118,JF - No,,,,,,,,,,,
Los Angeles,Sierra Madre,,City Council,204,,"2nd Tuesday, 4th Tuesday",https://www.cityofsierramadre.com/cityhall/elected_officials/city_council/agendas_minutes,,,,,,,,,,no,BO,
Los Angeles,Bell,,Planning Commission,228,,1st Wednesday,https://www.cityofbell.org/?NavID=93,JF - No,,,,,,,,,,,
Los Angeles,Commerce,,City Council,246,,"1st Tuesday, 3rd Tuesday",https://cityofcommerce.legistar.com/Calendar.aspx,JF - No,,,,,,,,,,,
Los Angeles,Agoura Hills,,Planning Commission,318,,"1st Thursday, 3rd Thursday",https://www.agourahillscity.org/department/city-clerk/commission-meeting-agendas/-fsiteid-1,JF - Cancelled,,,,,,,,,,,
Los Angeles,Agoura Hills,,City Council,318,,"2nd Wednesday, 4th Wednesday",http://agourahills.granicus.com/ViewPublisher.php?view_id=2,,,,,,,,,,yes,BO,
Los Angeles,Hawaiian Gardens,,City Council,331,,"2nd Tuesday, 4th Tuesday",https://www.hgcity.org/government/city-council/city-council-agendas-videos,,,,,,,,,,no,BO,
Los Angeles,Hawaiian Gardens,,Planning Commission,331,,2nd Wednesday,https://www.hgcity.org/government/boards-commissions-committees/commissions/commission-meetings,,,,,,,,,,,,
Los Angeles,Calabasas,A,Planning Commission,353,Adopted/Out,"1st Thursday, 3rd Thursday",https://www.cityofcalabasas.com/government/commissions/planning-commission,JF - Cancelled,,,,,,,,,yes,BO,
Los Angeles,Calabasas,A,City Council,353,Adopted/Out,"2nd Wednesday, 4th Wednesday",https://www.cityofcalabasas.com/government/city-council/current-agenda,,,,,,,,,,,,
Los Angeles,Paramount,,City Council,362,,"1st Tuesday, 3rd Tuesday",http://www.paramountcity.com/government/city-council/meeting-agendas-minutes-copy,JF - No,,,,,,,,,,,
Los Angeles,Paramount,,Planning Commission,362,,2nd Tuesday,http://www.paramountcity.com/government/city-commissions/planning-commission/community-development-commission-agenda,,,,,,,,,,,,
Los Angeles,Maywood,,City Council,363,,"2nd Wednesday, 4th Wednesday",https://www.cityofmaywood.com/290/Agendas-Minutes,,,,,,,,,,,,
Los Angeles,Maywood,,Planning Commission,363,,3rd Tuesday,https://www.cityofmaywood.com/maywood-planning-commission-agendas-minutes,,,,,,,,,,,,
Los Angeles,Cudahy,,City Council,392,,"1st Tuesday, 3rd Tuesday",https://www.cityofcudahy.com/AgendaCenter/City-Council-2,JF - No,,,,,,,,,,,
Los Angeles,Cudahy,,City Council,392,,3rd Monday,https://www.cityofcudahy.com/AgendaCenter/Planning-Commission-3,,,,,,,,,,,,
Los Angeles,San Marino,,City Council,397,,"2nd Wednesday, 4th (Last) Friday",https://www.cityofsanmarino.org/government/agendas___minutes_/2021.php,,,,,,,,,,,,
Los Angeles,El Segundo,,City Council,491,,"1st Tuesday, 3rd Tuesday",https://www.elsegundo.org/government/departments/city-clerk/agendas-minutes,JF - No,,,,,,,,,,,
Los Angeles,El Segundo,,Planning Commission,491,,"2nd, 4th Thursday",https://www.elsegundo.org/our-city/calendar,,,,,,,,,,,,
Los Angeles,Bell Gardens,,City Council,501,,"2nd Monday, 4th Monday",https://www.bellgardens.org/i-want-to/view-agendas,,,,,,,,,,,,
Los Angeles,Bell Gardens,,Planning Commission,501,,3rd Wednesday,https://www.bellgardens.org/government/city-departments/city-clerk/bell-gardens-commissions/planning-commission/-folder-234#docan459_474_565,,,,,,,,,,,,
Los Angeles,Signal Hill,,City Council,516,,"2nd Tuesday, 4th Tuesday",https://www.cityofsignalhill.org/Archive.aspx?AMID=42,,,,,,,,,,,,
Los Angeles,Signal Hill,,Planning Commission,516,,3rd Tuesday,https://www.cityofsignalhill.org/Archive.aspx?AMID=38,,,,,,,,,,,,
Los Angeles,Hermosa Beach,,City Council,556,,"2nd Tuesday, 4th Tuesday",https://www.hermosabeach.gov/our-community/agendas-minutes-video,,,,,,,,,,Yes,JF,
Los Angeles,South El Monte,,City Council,576,Adopted/Out,"2nd Tuesday, 4th Tuesday",https://www.cityofsouthelmonte.org/129/City-Council-Agendas-Minutes,,,,,,,,,,,,
Los Angeles,South El Monte,,Planning Commission,576,Adopted/Out,3rd Tuesday,https://www.cityofsouthelmonte.org/373/Agendas-Minutes,,,,,,,,,,,,
Los Angeles,La Canada Flintridge,A,Planning Commission,610,,"2nd Thursday, 4th Thursday",https://cityoflcf.org/city-clerk/agenda-minutes/,,,,,,,,,,,,
Los Angeles,Rancho Palos Verdes,A,City Council,638,,"1st Tuesday, 3rd Tuesday",https://www.rpvca.gov/772/City-Meeting-Video-and-Agendas,JF - No,,,,,,,,,,,
Los Angeles,Manhattan Beach,A,City Council,773,,"1st Tuesday, 3rd Tuesday",https://www.citymb.info/government/city-council/city-council-meetings-agendas-and-minutes,JF - No,,,,,,,,,,,
Los Angeles,Manhattan Beach,A,Planning Commission,773,,"2nd Wednesday, 4th Wednesday",https://www.citymb.info/departments/boards-and-commissions/planning-commission,,,,,,,,,,,,
Los Angeles,Lomita,,City Council,827,,"1st Tuesday, 3rd Tuesday",https://lomitacity.com/agendas-minutes/,JF - No,,,,,,,,,,,
Los Angeles,Lomita,,Planning Commission,827,,2nd Monday,http://www.lomita.com/cityhall/government/pzbs/pcMeetings/index2021.cfm,,,,,,,,,,,,
Los Angeles,Duarte,,City Council,886,,"2nd Tuesday, 4th Tuesday",https://www.accessduarte.com/howdoi/find/agendas/default.htm,,,,,,,,,,,,
Los Angeles,Santa Fe Springs,,Planning Commission,950,,2nd Monday,https://www.santafesprings.org/cityhall/planning/planningcommission/default.asp,,,,,,,,,,,,
Los Angeles,Santa Fe Springs,,City Council,950,,"2nd Thursday, 4th Thursday",https://www.santafesprings.org/council/city_council_meeting_agendas_and_minutes/default.asp,,,,,,,,,,,,
Los Angeles,Compton,,Planning Commission,1001,,2nd Wednesday,http://www.comptoncity.org/officials/clerk/agendas/public.asp,,,,,,,,,,,,
Los Angeles,Compton,,City Council,1001,,"Every Tuesday (1st, 2nd, 3rd, 4th)",https://www.comptoncity.org/departments/city-clerk/agendas-meetings-and-minutes/city-council-agenda,JF - TBD,JF - TBD,JF - No,,,,Joe - no (this entry repeated below) ,,,,,
Los Angeles,Artesia,,City Council,1067,,2nd Monday,https://ca-artesia2.civicplus.com/AgendaCenter/City-Council-1,,,,,,,,,,,,
Los Angeles,Artesia,,Planning Commission,1067,,3rd Tuesday,https://www.cityofartesia.us/AgendaCenter,,,,,,,,,,,,
Los Angeles,San Dimas,,Planning Commission,1245,,"1st Thursday, 3rd Thursday",https://sandimasca.gov/agendas-minutes/,JF - Cancelled,,,,,,,,,,,
Los Angeles,Walnut,,Planning Commission,1292,,1st Wednesday,https://www.cityofwalnut.org/my-government/meetings-agendas/planning-commission,JF - TBD,,,,,,,,,,,
Los Angeles,Walnut,,City Council,1292,,"2nd Wednesday, 4th Wednesday",https://www.cityofwalnut.org/my-government/meetings-agendas/city-council,,,,,,,,,,,,
Los Angeles,La Verne,,City Council,1343,,"1st Monday, 3rd Monday",https://www.cityoflaverne.org/index.php/government/city-council-agendas,JF - No,,,,,,,,,,,
Los Angeles,La Verne,,Planning Commission,1343,,2nd Wednesday,https://www.cityoflaverne.org/index.php/documents/agendas-minutes/planning-commission-agendas,,,,,,,,,,,,
Los Angeles,Lynwood,,City Council,1555,,"1st Tuesday, 3rd Tuesday",http://lynwood.ca.us/document-category/agendas/,JF - No,,,,,,,,,,,
Los Angeles,Lynwood,,Planning Commission,1555,,2nd Tuesday,http://lynwood.ca.us/notice-category/4yourinfo/,,,,,,,,,,,,
Los Angeles,Huntington Park,,City Council,1601,,"1st Tuesday, 3rd Tuesday",https://www.hpca.gov/Archive.aspx?AMID=68,JF - TBD,,,,,,,,,,,
Los Angeles,Huntington Park,,Planning Commission,1601,,3rd Wednesday,https://www.hpca.gov/Archive.aspx?AMID=35,,,,,,,,,,,,
Los Angeles,Monrovia,,City Council,1665,,"1st Tuesday, 3rd Tuesday",https://www.cityofmonrovia.org/your-government/city-council/agendas-minutes,JF - No,,,,,,,,,,,
Los Angeles,Monrovia,,Planning Commission,1665,,2nd Wednesday,https://www.cityofmonrovia.org/your-government/boards-and-commissions/planning-commission/agendas-minutes,,,,,,,,,,,,
Los Angeles,Claremont,,Planning Commission,1707,,"1st Tuesday, 3rd Tuesday",https://www.ci.claremont.ca.us/government/departments-divisions/city-clerk-s-office/document-archive,JF - TBD,,,,,,,,,,,
Los Angeles,Hawthorne,,Planning Commission,1731,,"1st Wednesday, 3rd Wednesday",https://www.cityofhawthorne.org/departments/community-services/hawthorne-television/council-meeting-video,JF - Yes,,,,,,,,,,,
Los Angeles,San Fernando,,City Council,1791,,"1st Monday, 3rd Monday",https://ci.san-fernando.ca.us/city-council/#1576540627247-9b7a1b63-dbff,JF - TBD,,,,,,,,,,,
Los Angeles,San Fernando,,Planning Commission,1791,,2nd Monday,https://ci.san-fernando.ca.us/commissions-boards/,,,,,,,,,,,,
Los Angeles,Cerritos,,Planning Commission,1903,,1st Wednesday,http://www.cerritos.us/RESIDENTS/tv3/video_archive.php,JF - Cancelled,,,,,,,,,,,
Los Angeles,Covina,,City Council,1905,,"1st Thursday, 3rd Thursday",https://covinaca.gov/meetings?field_microsite_tid_1=27,JF - No,,,,,,,,,,,
Los Angeles,Covina,,Planning Commission,1905,,"2nd Tuesday, 4th Tuesday",https://covinaca.gov/meetings?date_filter%5Bvalue%5D%5Bmonth%5D=6&date_filter%5Bvalue%5D%5Bday%5D=4&date_filter%5Bvalue%5D%5Byear%5D=2020&date_filter_1%5Bvalue%5D%5Bmonth%5D=1&date_filter_1%5Bvalue%5D%5Bday%5D=3&date_filter_1%5Bvalue%5D%5Byear%5D=2021&field_microsite_tid=All&field_microsite_tid_1=28,,,,,,,,,,,,
Los Angeles,La Puente,,Planning Commission,1924,,1st Tuesday,http://lapuente.granicus.com/ViewPublisher.php?view_id=3,JF - No,,,,,,,,,,,
Los Angeles,La Puente,,City Council,1924,,"2nd Tuesday, 4th Tuesday",http://lapuente.granicus.com/ViewPublisher.php?view_id=2,,,,,,,,,,,,
Los Angeles,La Mirada,,City Council,1957,,"2nd Tuesday, 4th Tuesday",https://www.cityoflamirada.org/about-us/agendas-and-minutes,,,,,,,,,,,,
Los Angeles,La Mirada,,Planning Commission,1957,,3rd Thursday,https://www.cityoflamirada.org/about-us/commissions-and-advisory-bodies/planning-commission-agendas-minutes/-toggle-all,,,,,,,,,,,,
Los Angeles,Baldwin Park,,City Council,1996,,"1st Wednesday, 3rd Wednesday",http://baldwinpark.granicus.com/ViewPublisher.php?view_id=10,JF - No,,,,,,,,,,,
Los Angeles,South Pasadena,A,City Council,2062,,"1st Wednesday, 3rd Wednesday",https://www.southpasadenaca.gov/government/city-council-meetings/2021-council-meetings,JF - Cancelled,,,,,,,,,,,
Los Angeles,South Pasadena,A,Planning Commission,2062,,2nd Tuesday,https://www.southpasadenaca.gov/government/boards-commissions/planning-commission/test-planning-commission-agendas-minutes-copy,,,,,,,,,,,,
Los Angeles,Temple City,,City Council,2182,,"1st Tuesday, 3rd Tuesday",https://www.ci.temple-city.ca.us/117/Agendas-Minutes,JF - No,,,,,,,,,,,
Los Angeles,Temple City,,Planning Commission,2182,,"2nd Tuesday, 4th Tuesday",https://www.ci.temple-city.ca.us/363/Planning,,,,,,,,,,,,
Los Angeles,Glendora,,Planning Commission,2270,,1st Tuesday,https://meetings.ci.glendora.ca.us/onbaseagendaonline,JF - Cancelled,,,,,,,,,,,
Los Angeles,Redondo Beach,A,City Council,2483,Adopted/Out,"1st Tuesday, 3rd Tuesday",https://redondo.legistar.com/Calendar.aspx,JF - Cancelled,,,,,,,,,,,
Los Angeles,Redondo Beach,A,Planning Commission,2483,Adopted/Out,3rd Thursday,https://www.redondo.org/depts/city_clerk/boards_n_commissions_information/boards_n_commissions/planning.asp,,,,,,,,,,,,
Los Angeles,Lawndale,,City Council,2491,,"1st Monday, 3rd Monday",https://www.lawndalecity.org/cms/one.aspx?pageId=17106541,JF - Cancelled,,,,,,,,,,,
Los Angeles,Lawndale,,Planning Commission,2491,,"2nd Wednesday, 4th Wednesday",https://www.lawndalecity.org/government/departments/city_clerk_s_office/agendas_minutes/planning_commission,,,,,,,,,,,,
Los Angeles,Diamond Bar,,City Council,2516,Adopted/Out,"1st Tuesday, 3rd Tuesday",http://diamondbarca.iqm2.com/Citizens/calendar.aspx,JF - Cancelled,,,,,,,,,,,
Los Angeles,Azusa,,City Council,2646,,"1st Monday, 3rd Monday",https://www.ci.azusa.ca.us/Archive.aspx?AMID=30,JF - Cancelled,,,,,,,,,,,
Los Angeles,Azusa,,Planning Commission,2646,,"2nd Wednesday, 4th Wednesday",https://www.ci.azusa.ca.us/Archive.aspx?AMID=48,,,,,,,,,,,,
Los Angeles,San Gabriel,,City Council,3017,,"1st Tuesday, 3rd Tuesday",https://www.sangabrielcity.com/agendacenter,JF - Yes,,,,,,,,,,,
Los Angeles,San Gabriel,,Planning Commission,3017,,2nd Monday,https://www.sangabrielcity.com/Archive.aspx?AMID=38,,,,,,,,,,,,
Los Angeles,Beverly Hills,A,City Council,3096,Adopted/Out,"1st Tuesday, 3rd Tuesday",http://www.beverlyhills.org/departments/informationtechnology/beverlyhillstelevision/citycouncilmeetings/,JF - TBD,,,,,,,,,,,
Los Angeles,Beverly Hills,A,Planning Commission,3096,Adopted/Out,"2nd Thursday, 4th Thursday",http://www.beverlyhills.org/departments/communitydevelopment/planning/commissions/planningcommission/web.jsp,,,,,,,,,,,,
Los Angeles,Arcadia,,City Council,3206,,"1st Tuesday, 3rd Tuesday",https://www.arcadiaca.gov/discover/city_council/city_council_meetings___agendas.php,JF - No,,,,,,,,,,,
Los Angeles,Arcadia,,Planning Commission,3206,,"2nd Tuesday, 4th Tuesday",https://www.arcadiaca.gov/discover/boards_and_commissions/planning_commission.php,,,,,,,,,,,,
Los Angeles,Culver City,A,City Council,3333,,"2nd Monday, 4th Monday",https://culver-city.legistar.com/Calendar.aspx,,,,,,,,,,,,
Los Angeles,Culver City,A,Planning Commission,3333,,"2nd Wednesday, 4th Wednesday",https://culver-city.legistar.com/DepartmentDetail.aspx?ID=27979&GUID=3535218F-2E59-4F92-9E0F-44A0A4655676,,,,,,,,,,,,
Los Angeles,Whittier,,Planning Commission,3431,Adopted/Out,"1st Monday, 3rd Monday",https://online.cityofwhittier.org/OnBaseAgendaOnline/,JF - No,,,,,,,,,,,
Los Angeles,Bellflower,,Planning Commission,3726,,"1st Monday, 3rd Monday",https://www.bellflower.org/government/boards_committees___commissions/planning_commission.php,JF- Cancelled,,,,,,,,,,,
Los Angeles,Bellflower,,City Council,3726,,"2nd Monday, 4th Monday",https://www.bellflower.org/government/city_council/city_council_meetings.php,,,,,,,,,,,,
Los Angeles,Lakewood,,Planning Commission,3914,,1st Thursday,https://www.lakewoodcity.org/council/all_agendas_.asp,JF - No,,,,,,,,,,,
Los Angeles,West Hollywood,A,City Council,3924,,"1st Monday, 3rd Monday",https://www.weho.org/city-government/city-council/council-agendas,JF - TBD,,,,,,,,,,,
Los Angeles,West Hollywood,A,Planning Commission,3924,,"1st Thursday, 3rd Thursday",https://www.weho.org/city-government/download-documents/-folder-231,JF - Cancelled,,,,,,,,,,,
Los Angeles,Pico Rivera,,Planning Commission,3939,,"1st Monday, 3rd Monday",http://www.pico-rivera.org/depts/ced/planning/commission/pc_agendas.asp,JF - Cancelled,,,,,,,,,,,
Los Angeles,Pico Rivera,,City Council,3939,,"2nd Tuesday, 4th Tuesday",http://www.pico-rivera.org/depts/admin/clerk/am/agendas.asp,,,,,,,,,,,,
Los Angeles,Rosemead,,Planning Commission,4601,,"1st Monday, 3rd Monday",http://www3.cityofrosemead.org:8081/weblink/browse.aspx?startid=136&dbid=0,JF - No,,,,,,,,,,,
Los Angeles,Torrance,A,Planning Commission,4928,,"1st Wednesday, 3rd Wednesday",https://www.torranceca.gov/government/city-clerk/commissions-and-advisory-boards/planning-commission/agendas-and-minutes,JF - No,,,,,,,,,,,
Los Angeles,Torrance,A,City Council,4928,,"Every Tuesday (1st, 2nd, 3rd, 4th)",https://www.torranceca.gov/government/council-agendas-minutes/-folder-5355,JF - Cancelled,JF - No,JF - TBD,,,,Joe - no ,,,,,
Los Angeles,Norwalk,,City Council,5022,,"1st Tuesday, 3rd Tuesday",https://www.norwalk.org/city-hall/meeting-agendas-393,JF - Cancelled,,,,,,,,,,,
Los Angeles,Montebello,,Planning Commission,5174,,"1st Tuesday, 3rd Tuesday",https://www.cityofmontebello.com/department/planning-community-development/planning-commission.html,JF - Cancelled,,,,,,,,,,,
Los Angeles,Montebello,,City Council,5174,,"2nd Wednesday, 4th Wednesday",https://www.cityofmontebello.com/government/public-meetings.html,,,,,,,,,,,,
Los Angeles,Monterey Park,,City Council,5245,,"1st Wednesday, 3rd Wednesday",https://www.montereypark.ca.gov/AgendaCenter/City-Council-17,JF - Cancelled,,,,,,,,,,,
Los Angeles,Monterey Park,,Planning Commission,5245,,"2nd Tuesday, 4th Tuesday",https://www.montereypark.ca.gov/AgendaCenter,,,,,,,,,,,,
Los Angeles,West Covina,,City Council,5334,,"1st Tuesday, 3rd Tuesday",https://www.westcovina.org/departments/city-clerk/agendas-and-meetings/current-meetings-and-agendas,JF - No,,,,,,,,,,,
Los Angeles,West Covina,,Planning Commission,5334,,"2nd Tuesday, 4th Tuesday",https://www.westcovina.org/departments/community-development/planning-division/planning-commission,,,,,,,,,,,,
Los Angeles,Carson,,Planning Commission,5605,,"2nd Tuesday, 4th Tuesday",http://ci.carson.ca.us/CommunityDevelopment/planning_agenda.aspx,,,,,,,,,,,,
Los Angeles,Carson,,City Council,5605,,"Every Tuesday (1st, 2nd, 3rd, 4th)",http://ci.carson.ca.us/Government/videoarchive.aspx,JF - No,OG - No,JF - No,,,,Joe - no meeting,,,,,
Los Angeles,Gardena,,Planning Commission,5721,,"1st Tuesday, 3rd Tuesday",https://www.cityofgardena.org/agendas-planning-environmental-commission/,JF - Cancelled,,,,,,,,,,,
Los Angeles,Gardena,,City Council,5721,,"2nd Tuesday, 4th Tuesday",https://www.cityofgardena.org/agendas-city-council/,,,,,,,,,,,,
Los Angeles,Downey,,Planning Commission,6510,,"1st Wednesday, 3rd Wednesday",https://lf.downeyca.org/WebLink/Browse.aspx?id=993194&dbid=0&repo=Downey,JF - Cancelled,,,,,,,,,,,
Los Angeles,Downey,,City Council,6510,,"2nd Tuesday, 4th Tuesday",https://lf.downeyca.org/WebLink/Browse.aspx?id=777192&dbid=0&repo=Downey,,,,,,,,,,,,
Los Angeles,Palmdale,,City Council,6625,,1st Tuesday,https://www.cityofpalmdale.org/310/City-Council-Meetings,JF - No,,,,,,,,,,,
Los Angeles,Palmdale,,Planning Commission,6625,,2nd Thursday,https://www.cityofpalmdale.org/284/Planning-Commission,,,,,,,,,,,,
Los Angeles,Alhambra,A,Planning Commission,6808,,"1st Monday, 3rd Monday",https://www.cityofalhambra.org/AgendaCenter/Planning-Commission-10,LTR - cancelled,,,,,,,,,,,
Los Angeles,Inglewood,,Planning Commission,7422,,1st Wednesday,https://www.cityofinglewood.org/AgendaCenter/Planning-Commission-4,LTR - no,,,,,,,,,,,
Los Angeles,Inglewood,,City Council,7422,,"Every Wednesday, Every Friday (1st, 2nd, 3rd, 4th)",https://www.cityofinglewood.org/AgendaCenter/City-Council-3,LTR - no,OG - No,JF - Cancelled,,,,Joe -  no meeting,,,,,
Los Angeles,South Gate,,Planning Commission,8263,,"1st Tuesday, 3rd Tuesday","https://www.cityofsouthgate.org/AgendaCenter/Search/?term=&CIDs=3,&startDate=&endDate=&dateRange=&dateSelector=",LTR - no,,,,,,,,,,,
Los Angeles,South Gate,,City Council,8263,,"2nd Tuesday, 4th Tuesday","https://www.cityofsouthgate.org/AgendaCenter/Search/?term=&CIDs=2,&startDate=&endDate=&dateRange=&dateSelector=",,,,,,,,,,,,
Los Angeles,El Monte,,Planning Commission,8481,,"2nd Tuesday, 4th Tuesday",https://www.ci.el-monte.ca.us/AgendaCenter/Planning-Commission-2,,,,,,,,,,,,
Los Angeles,El Monte,,City Council,8481,,"Variable (1st, 2nd, 3rd, 4th)",http://www.elmonteca.gov/378/Council-Meeting-Videos,,JF - TBD,JF - Cancelled,,,,Joe - no meeting,,,,,
Los Angeles,Burbank,A,Planning Board,8751,,"2nd Monday, 4th Monday",https://www.burbankca.gov/web/city-clerks-office/meeting-agendas-and-minutes,,,,,,,,,,,,
Los Angeles,Santa Monica,A,City Council,8873,Adopted/Out,"2nd Tuesday, 4th Tuesday",https://www.smgov.net/departments/clerk/agendas.aspx,,,,,,,,,,,,
Los Angeles,Santa Monica,,Planning Commission,8873,Adopted/Out,"1st Wednesday, 3rd Wednesday",https://www.smgov.net/Departments/PCD/Boards-Commissions/Planning-Commission/,LTR - cancelled,,,,,,,,,,,
Los Angeles,Lancaster,,City Council,9002,,"2nd Tuesday, 4th Tuesday",https://www.cityoflancasterca.org/government/city-officials/city-council/meetings-agendas-and-minutes,,,,,,,,,,,,
Los Angeles,Lancaster,,Planning Commission,9002,,3rd Monday,https://www.cityoflancasterca.org/our-city/departments-services/city-clerk/meetings-agendas-and-minutes/public-meetings-web-streaming,,,,,,,,,,,,
Los Angeles,Pasadena,A,Planning Commission,9408,,"2nd Wednesday, 4th Wednesday",https://www.cityofpasadena.net/commissions/planning-commission/,,,,,,,,,,,,
Los Angeles,Pasadena,A,City Council,9408,,"Every Monday (1st, 2nd, 3rd, 4th)",http://ww2.cityofpasadena.net/councilagendas/council_agenda.asp,LTR - cancelled,JF - No,JF - No,,,,Joe - TBD - agenda should be up but isn't,,,,,
Los Angeles,Santa Clarita,,Planning Commission,10008,,"1st Tuesday, 3rd Tuesday",http://santaclaritacityca.iqm2.com/Citizens/calendar.aspx,LTR - cancelled,,,,,,,,,,,
Los Angeles,Santa Clarita,,City Council,10008,,"2nd Tuesday, 4th Tuesday",http://santaclaritacityca.iqm2.com/Citizens/default.aspx,,,,,,,,,,,,
Los Angeles,Pomona,A,City Council,10534,,"1st Monday, 3rd Monday",https://www.pomonaca.gov/government/current-council-agenda,LTR - yes,,,,,,,,,,,
Los Angeles,Pomona,A,Planning Commission,10534,,"2nd Wednesday, 4th Wednesday",https://pomona.legistar.com/Calendar.aspx,,,,,,,,,,,,
Los Angeles,Glendale,A,Planning Commission,13393,,"1st Wednesday, 3rd Wednesday",https://www.glendaleca.gov/government/public-meeting-portal,LTR - cancelled,,,,,,,,,,,
Los Angeles,Long Beach,A,Planning Commission,26440,,"1st Thursday, 3rd Thursday",http://longbeach.legistar.com/Calendar.aspx,LTR - no,,,,,,,,,,,
Los Angeles,Los Angeles,A,Citywide Planning Commission,455577,,"2nd Tuesday, 4th Thursday",https://planning.lacity.org/about/commissions-boards-hearings,,,,,,,,,,,,
Los Angeles,Los Angeles,A,City Council,455577,,"Every Tuesday, Every Wednesday, Every Friday (1st, 2nd, 3rd, 4th)",https://www.lacity.org/government/meeting-calendars/city-council-meetingsagendas,LTR - no,,JF - Cancelled,,,,Joe - No - checked agendas for 1/14 and 1/15,,,,,
Los Angeles,Compton,,Planning Commission,1001,,2nd Wednesday,https://www.comptoncity.org/departments/city-clerk/agendas-meetings-and-minutes/public-meetings-and-agendas/-folder-27,,,,,,,,,,,,
Los Angeles,La Verne,,City Council,1343,,"1st Monday, 3rd Monday",https://www.cityoflaverne.org/AgendaCenter/,LTR - no,,,,,,,,,,,
Los Angeles,Maywood,,Planning Commission,363,,3rd Tuesday,"Agendas & Minutes | Maywood, CA (cityofmaywood.com)",,,,,,,,,,,,
Los Angeles,Compton,,City Council,1001,,"Every Tuesday (1st, 2nd, 3rd, 4th)",https://www.comptoncity.org/departments/city-clerk/agendas-meetings-and-minutes,LTR  - no,,JF - No,,,,Joe - No,,,,,
Los Angeles,Downey,,Planning Commission,6510,,"1st Wednesday, 3rd Wednesday",https://lf.downeyca.org/WebLink/Browse.aspx?id=965266&dbid=0&repo=Downey,LTR - cancelled,,,,,,,,,,,
Los Angeles,Duarte,,City Council,886,,"2nd Tuesday, 4th Tuesday",https://www.accessduarte.com/government/agendas-minutes,,,,,,,,,,,,
Los Angeles,South Gate,,Planning Commission,8263,,"1st Tuesday, 3rd Tuesday",Planning Commission Agenda and Minutes Archive City of South Gate,LTR  - no,,,,,,,,,,,
Los Angeles,South Gate,,City Council,8263,,"2nd Tuesday, 4th Tuesday",Default View - Granicus Content,,,,,,,,,,,,
Marin,Ross,,Town Council,109,,2nd Thursday,https://www.townofross.org/meetings?field_microsite_tid_1=27,,,,,,,,,,,,
Marin,Belvedere,,Planning Commission,160,,3rd Tuesday,https://www.cityofbelvedere.org/AgendaCenter/Planning-Commission-7,,,,,,,Yes,,,,,
Marin,Fairfax,,Town Council,490,,1st Wednesday,https://www.townoffairfax.org/agendas-town-council/,LTR  - no,,,,,,,,,,,
Marin,Fairfax,,Planning Commission,490,,3rd Thursday,https://www.townoffairfax.org/planning-commission-meetings/,,,,,,,No,,,,,
Marin,Tiburon,,Planning Commission,639,,"2nd Wednesday, 4th Wednesday",https://www.townoftiburon.org/282/Agendas-Minutes-Staff-Reports,,,,,,,,,,,,
Marin,Sausalito,,City Council,724,,"2nd Tuesday, 4th Tuesday",https://www.sausalito.gov/city-government/city-council/meetings-and-agendas,,,,,,,,,,,,
Marin,Sausalito,,General Plan Advisory Committee,724,,"1st Tues, 3rd Tuesday",https://www.sausalito.gov/city-government/special-committees/general-plan-advisory-committee/meetings-and-agendas,LTR  - no,,,,,,No,,,,,
Marin,Sausalito,,Planning Commission,724,,"1st Wednesday, 3rd Wednesday",https://www.sausalito.gov/city-government/boards-and-commissions/planning-commission/meetings-and-agendas,LTR  - no,,,,,,Yes,,,,,
Marin,Corte Madera,,Planning Commission,725,,"2nd Tuesday, 4th Tuesday",https://www.townofcortemadera.org/AgendaCenter/Planning-Commission-2,,,,,,,,,,,,
Marin,San Anselmo,,Planning Commission,833,,"1st Monday, 3rd Monday",https://www.townofsananselmo.org/779/Town-Council-Meeting-Packets,LTR  - no,,,,,,Yes,,,,,
Marin,Mill Valley,,City Council,848,,"1st Monday, 3rd Monday",https://www.cityofmillvalley.org/278/Watch-Meetings-Online,LTR  - no,,,,,,No,,,,,
Marin,Larkspur,,City Council,979,,"1st Wednesday, 3rd Wednesday",https://www.ci.larkspur.ca.us/Archive.aspx?AMID=49,LTR - cancelled,,,,,,No,,,,,
